food_id,nutrition_key,food_name,source,status
292,Daun salam  bubuk,Daun salam  bubuk,nutrition1_indonesia,AVAILABLE
293,Daun selasih segar,Daun selasih segar,nutrition1_indonesia,AVAILABLE
294,Daun Semanggi,Daun Semanggi,nutrition1_indonesia,AVAILABLE
295,Daun semanggi segar,Daun semanggi segar,nutrition1_indonesia,AVAILABLE
296,Daun simpur segar,Daun simpur segar,nutrition1_indonesia,AVAILABLE
297,Daun singkil segar,Daun singkil segar,nutrition1_indonesia,AVAILABLE
298,Daun Singkong,Daun Singkong,nutrition1_indonesia,AVAILABLE
299,Daun singkong ambon segar,Daun singkong ambon segar,nutrition1_indonesia,AVAILABLE
300,Daun singkong ampenan segar,Daun singkong ampenan segar,nutrition1_indonesia,AVAILABLE
301,Daun singkong kopang segar,Daun singkong kopang segar,nutrition1_indonesia,AVAILABLE
302,Daun Singkong lodeh,Daun Singkong lodeh,nutrition1_indonesia,AVAILABLE
303,Daun Singkong rebus,Daun Singkong rebus,nutrition1_indonesia,AVAILABLE
304,Daun singkong segar,Daun singkong segar,nutrition1_indonesia,AVAILABLE
305,Daun Sintrong,Daun Sintrong,nutrition1_indonesia,AVAILABLE
306,Daun talas rebus,Daun talas rebus,nutrition1_indonesia,AVAILABLE
307,Daun talas segar,Daun talas segar,nutrition1_indonesia,AVAILABLE
308,Daun Tales,Daun Tales,nutrition1_indonesia,AVAILABLE
309,Daun Tales rebus,Daun Tales rebus,nutrition1_indonesia,AVAILABLE
310,Daun tespong segar,Daun tespong segar,nutrition1_indonesia,AVAILABLE
311,Daun Ubi Jalar,Daun Ubi Jalar,nutrition1_indonesia,AVAILABLE
312,Daun Ubi Jalar kukus,Daun Ubi Jalar kukus,nutrition1_indonesia,AVAILABLE
313,Daun ubi kuning segar,Daun ubi kuning segar,nutrition1_indonesia,AVAILABLE
314,Daun ubi merah kukus,Daun ubi merah kukus,nutrition1_indonesia,AVAILABLE
315,Daun ubi merah segar,Daun ubi merah segar,nutrition1_indonesia,AVAILABLE
