Nomor Registrasi,Nama Produk,product_name_norm,Zat_Aktif,zat_aktif_norm,reason
DKI0163200243A1,ADANT DISPO,ADANT DISPO,SODIUM HYALURONATE,SODIUM HYALURONATE,no_curated_drug_category_match
DKL7819614810A1,ADROME,ADROME,CARBAZOCHROME SODIUM SULFONATE,CARBAZOCHROME SODIUM SULFONATE,no_curated_drug_category_match
DKI2186002343A1,AERINEX,AERINEX,ERENUMAB,ERENUMAB,no_curated_drug_category_match
DKI0487101137A1,AERIUS,AERIUS,DESLORATADINE,DESLORATADINE,no_curated_drug_category_match
DKI0887101417A1,AERIUS,AERIUS,DESLORATADINE,DESLORATADINE,no_curated_drug_category_match
LKE22066206,AERIUS,AERIUS,DESLORATADINE,DESLORATADINE,no_curated_drug_category_match
DKI0987101714A1,AERIUS D-12,AERIUS D 12,PSEUDOEPHEDRINE SULFATE. DESLORATADINE,PSEUDOEPHEDRINE SULFATE DESLORATADINE,no_curated_drug_category_match
DKI2570800339A1,AEROBIDOL,AEROBIDOL,FENOTEROL HYDROBROMIDE,FENOTEROL HYDROBROMIDE,no_curated_drug_category_match
DKI2570800339A1,AEROBIDOL,AEROBIDOL,IPRATROPIUM BROMIDE MONOHYDRATE,IPRATROPIUM BROMIDE MONOHYDRATE,no_curated_drug_category_match
DKI0280102075A1,AERRANE,AERRANE,ISOFLURANE,ISOFLURANE,no_curated_drug_category_match
DKI2418605517A1,AFATIN,AFATIN,AFATINIB DIMALEATE,AFATINIB DIMALEATE,no_curated_drug_category_match
DKI2418605517B1,AFATIN,AFATIN,AFATINIB DIMALEATE,AFATINIB DIMALEATE,no_curated_drug_category_match
DKI2418605517C1,AFATIN,AFATIN,AFATINIB DIMALEATE,AFATINIB DIMALEATE,no_curated_drug_category_match
DKI2556300517A1,AFATYK 20,AFATYK 20,AFATINIB DIMALEATE MONOHYDRATE,AFATINIB DIMALEATE MONOHYDRATE,no_curated_drug_category_match
DKI2556300517B1,AFATYK 30,AFATYK 30,AFATINIB DIMALEATE MONOHYDRATE,AFATINIB DIMALEATE MONOHYDRATE,no_curated_drug_category_match
DKI2556300517C1,AFATYK 40,AFATYK 40,AFATINIB DIMALEATE MONOHYDRATE,AFATINIB DIMALEATE MONOHYDRATE,no_curated_drug_category_match
DBL2201712404A1,AFIBRAMOL,AFIBRAMOL,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DBL2601712704A1,AFIBRAMOL EXTRA,AFIBRAMOL EXTRA,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DBL2601712704A2,AFIBRAMOL EXTRA,AFIBRAMOL EXTRA,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DBL2601712904A1,AFIBRAMOL FORTE,AFIBRAMOL FORTE,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DBL7801604210A1,AFITAMOL,AFITAMOL,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DBL2301605510A1,AFITAMOL EXTRA,AFITAMOL EXTRA,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DBL1901604537A1,AFITAMOL KIDS,AFITAMOL KIDS,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DTL2006319804A1,AFLUCAPS PE,AFLUCAPS PE,CHLORPHENAMINE MALEATE,CHLORPHENAMINE MALEATE,no_curated_drug_category_match
DTL2006319804A1,AFLUCAPS PE,AFLUCAPS PE,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DTL2006319804A1,AFLUCAPS PE,AFLUCAPS PE,PARACETAMOL. PHENYLEPHRINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE,PARACETAMOL PHENYLEPHRINE HYDROCHLORIDE CHLORPHENAMINE MALEATE,no_curated_drug_category_match
DTL2006319804A1,AFLUCAPS PE,AFLUCAPS PE,PHENYLEPHRINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE,no_curated_drug_category_match
DKL0434601629A1,AFUCID,AFUCID,FUSIDIC ACID,FUSIDIC ACID,no_curated_drug_category_match
DKL0205031310A1,AGGRAVAN,AGGRAVAN,CILOSTAZOL,CILOSTAZOL,no_curated_drug_category_match
DKL1309321617A1,AGRELANO,AGRELANO,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,no_curated_drug_category_match
DKL2028406649A1,AHEP,AHEP,METHIONINE. PHENYLALANINE. THREONINE. VALINE. ARGININE. ORNITHINE ASPARTATE. ALANINE. ACETYLCYSTEINE. GLYCINE. PROLINE. SERINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. SORBITOL. HISTIDINE. GLUTAMIC,METHIONINE PHENYLALANINE THREONINE VALINE ARGININE ORNITHINE ASPARTATE ALANINE ACETYLCYSTEINE GLYCINE PROLINE SERINE SODIUM GLYCEROPHOSPHATE HYDRATED MAGNESIUM CHLORIDE HEXAHYDRATE POTASSIUM CHLORIDE TRYPTOPHAN SORBITOL HISTIDINE GLUTAMIC,no_curated_drug_category_match
DKL2028406649A2,AHEP,AHEP,SORBITOL. XYLITOL. METHIONINE. ORNITHINE ASPARTATE. ACETYLCYSTEINE. GLYCINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. LYSINE MALATE. ISOLEUCINE. LEUCINE. PHENYLALANINE. THREONINE. VALINE. L-ARGININE,SORBITOL XYLITOL METHIONINE ORNITHINE ASPARTATE ACETYLCYSTEINE GLYCINE SODIUM GLYCEROPHOSPHATE HYDRATED MAGNESIUM CHLORIDE HEXAHYDRATE POTASSIUM CHLORIDE TRYPTOPHAN LYSINE MALATE ISOLEUCINE LEUCINE PHENYLALANINE THREONINE VALINE L ARGININE,no_curated_drug_category_match
DTL9506308546A1,AILIN,AILIN,TETRAHYDROZOLINE HYDROCHLORIDE,TETRAHYDROZOLINE HYDROCHLORIDE,no_curated_drug_category_match
DTL1906319146A1,AILIN COOL,AILIN COOL,NAPHAZOLINE HYDROCHLORIDE,NAPHAZOLINE HYDROCHLORIDE,no_curated_drug_category_match
