Nomor Registrasi,Nama Produk,product_name_norm,Zat_Aktif,zat_aktif_norm,drug_category,match_pattern,match_type,source
DKI2254801617B1,DIAGLIFOZ,DIAGLIFOZ,DAPAGLIFLOZIN PREMIX,DAPAGLIFLOZIN PREMIX,antidiabetes,DAPAGLIFLOZIN,token_substring,curated_rule
DKI2154801117A1,DIAGLIFOZMET XR,DIAGLIFOZMET XR,DAPAGLIFLOZIN PREMIX. METFORMIN HYDROCHLORIDE,DAPAGLIFLOZIN PREMIX METFORMIN HYDROCHLORIDE,antidiabetes,DAPAGLIFLOZIN,token_substring,curated_rule
DKI2154801117A1,DIAGLIFOZMET XR,DIAGLIFOZMET XR,DAPAGLIFLOZIN PREMIX. METFORMIN HYDROCHLORIDE,DAPAGLIFLOZIN PREMIX METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKI2154801117B1,DIAGLIFOZMET XR,DIAGLIFOZMET XR,DAPAGLIFLOZIN PREMIX. METFORMIN HYDROCHLORIDE,DAPAGLIFLOZIN PREMIX METFORMIN HYDROCHLORIDE,antidiabetes,DAPAGLIFLOZIN,token_substring,curated_rule
DKI2154801117B1,DIAGLIFOZMET XR,DIAGLIFOZMET XR,DAPAGLIFLOZIN PREMIX. METFORMIN HYDROCHLORIDE,DAPAGLIFLOZIN PREMIX METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKI2154801117C1,DIAGLIFOZMET XR,DIAGLIFOZMET XR,DAPAGLIFLOZIN PREMIX. METFORMIN HYDROCHLORIDE,DAPAGLIFLOZIN PREMIX METFORMIN HYDROCHLORIDE,antidiabetes,DAPAGLIFLOZIN,token_substring,curated_rule
DKI2154801117C1,DIAGLIFOZMET XR,DIAGLIFOZMET XR,DAPAGLIFLOZIN PREMIX. METFORMIN HYDROCHLORIDE,DAPAGLIFLOZIN PREMIX METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKI2154801117D1,DIAGLIFOZMET XR,DIAGLIFOZMET XR,DAPAGLIFLOZIN PREMIX. METFORMIN HYDROCHLORIDE,DAPAGLIFLOZIN PREMIX METFORMIN HYDROCHLORIDE,antidiabetes,DAPAGLIFLOZIN,token_substring,curated_rule
DKI2154801117D1,DIAGLIFOZMET XR,DIAGLIFOZMET XR,DAPAGLIFLOZIN PREMIX. METFORMIN HYDROCHLORIDE,DAPAGLIFLOZIN PREMIX METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKL1604524910A1,DIAMICRON,DIAMICRON,GLICLAZIDE,GLICLAZIDE,antidiabetes,GLICLAZIDE,token_substring,curated_rule
DKI1768601214A1,DIAMICRON MR 60,DIAMICRON MR 60,GLICLAZIDE,GLICLAZIDE,antidiabetes,GLICLAZIDE,token_substring,curated_rule
DKL2233554410A1,DIARVIT,DIARVIT,ACARBOSE,ACARBOSE,antidiabetes,ACARBOSE,token_substring,curated_rule
DKL2233554410B1,DIARVIT,DIARVIT,ACARBOSE,ACARBOSE,antidiabetes,ACARBOSE,token_substring,curated_rule
DKL0434601410A1,DIAVERSA 1,DIAVERSA 1,GLIMEPIRIDE,GLIMEPIRIDE,antidiabetes,GLIMEPIRIDE,token_substring,curated_rule
DKL0434601410B1,DIAVERSA 2,DIAVERSA 2,GLIMEPIRIDE,GLIMEPIRIDE,antidiabetes,GLIMEPIRIDE,token_substring,curated_rule
DKL0434601410C1,DIAVERSA 3,DIAVERSA 3,GLIMEPIRIDE,GLIMEPIRIDE,antidiabetes,GLIMEPIRIDE,token_substring,curated_rule
DKL0434601410D1,DIAVERSA 4,DIAVERSA 4,GLIMEPIRIDE,GLIMEPIRIDE,antidiabetes,GLIMEPIRIDE,token_substring,curated_rule
GKL2431551401A1,DICLOFENAC ACID,DICLOFENAC ACID,DICLOFENAC ACID,DICLOFENAC ACID,nsaid,DICLOFENAC,token_substring,curated_rule
GKL2431551401B1,DICLOFENAC ACID,DICLOFENAC ACID,DICLOFENAC ACID,DICLOFENAC ACID,nsaid,DICLOFENAC,token_substring,curated_rule
GKL0408511017A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1114812317A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1421644117A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1421644117B1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1616703217A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1843001417A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1915629917A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1921026909A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1943001417B1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL2206514317A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL2325807610A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL2528920717A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL2558402117A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL0302332815A1,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL0533514915A1,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1630708915A1,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1705057615A1,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1831116515A1,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,nsaid,DICLOFENAC,token_substring,curated_rule
GKL1906318815A1,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,DICLOFENAC SODIUM,nsaid,DICLOFENAC,token_substring,curated_rule
